Tab,Your ask,What shipped,Accepted?,Your feedback,V2 — What shipped,V2 — Accepted?,V2 — Your feedback
Overview,Consistent header across all 4 AEO tabs,Green icon + question + subtitle on all 4 tabs,⚠️,"REMOVE: Subtitle “Visibility, share of voice, and sentiment across tracked LLMs, with side-by-side comparison to competitors.”",Subtitle removed. SectionHeader now allows optional subtitle; only Overview tab omits it. Other 3 tabs keep their own subtitles.,,
Overview,Remove the rolling-week pills,Pills removed from top of Overview,✅,,,,
Overview,Swap KPIs to Visibility / Citation Share / AI Referral Traffic,3 KPI cards swapped with period deltas,✅,,,,
Overview,Add AI-generated executive synopsis at top,Synopsis card added (Glean-generated prose + recommended actions),✅,,,,
Overview,"Add ""Snapshot KPIs"" eyebrow label",Eyebrow added above the KPI grid,✅,,,,
Overview,Move trend chart below the KPI grid,Trend chart relocated,⚠️,"ISSUE: “Tracking began May 18” – this is incorrect, this workspace has been tracking data since March 28, 2025. I think that this YTD chart is changing based on the date range selector. Please make static to always show YTD.","Visibility trend chart pinned to YTD (Jan 1 of current year → today), completely independent of the page date picker. Separate YTD fetch in lib/peec/client.ts + lib/profound/client.ts; dailyVisibility/competitorDailyVisibility sourced from YTD; weeklyVisibility (demand-overview consumer) stays picker-range bound. Cache versions bumped (peec v7→v8, profound v4→v5). Misleading 'Tracking began' line removed entirely (was deriving incorrectly from chart's first data bucket — no source of truth available without a DB change Paul declined). Tooltip updated. Refreshes daily via 1h cache TTL + nightly Peec ingest.",,
Overview,Add a vertical axis to the visibility trend chart,5 percent-tick labels on the Y-axis,✅,,,,
Overview,Recolor Domain Types chart with brand palette,All-gray bars replaced with cyan / green / blue / yellow / purple at full or 60% opacity,✅,,,,
Overview,Remove brand categories chart + definitions,Removed; Leaderboard now spans full width,✅,,,,
Overview,Add static Biggest Winners + Biggest Losers cards,Added side-by-side using your AEO Analysis doc data; scoped to Avenue Z only,⚠️,ISSUE: This seems like static copy and should be pulling actual data. It doesn’t change when a new date range or model is selected and is an exact copy of the example text I provided.,"Winners/Losers cards now compute from live per-period prompt rank deltas. Updated promptBrandsRes in lib/peec/client.ts with dimensions ['prompt_id','model_channel_id','model_id'] limit 5000; added matching promptBrandsPriorRes. Built per-prompt-per-model position maps for both periods. Extended TrackedPrompt with positionByModel + priorPositionByModel. Pure compute in lib/peec/winners-losers.ts (unit-tested, 16 specs). Sandbox gate lifted; every client sees their own real winners/losers; empty state for thin-history clients. Reacts to date range AND model filter per Tina's literal text. Profound provider variant shows empty cards (parity-only mirror; Profound API does not yet expose per-prompt-per-model rows).",,
,,,,"REMOVE Chart: “Which prompts are AI engines answering with our brand?” at the very bottom.

This wasn't explicitly stated to remove in the initial doc, but it was not included in the recommended layout.","Chart removed from Overview tab (both Peec + Profound provider variants). Component files deleted. data.trackedPrompts field kept — still consumed by PR Influence, Content Impact, and 4 other surfaces.",,
